dataset,algorithm,utility_func,l,n,m,k,gamma,epsilon,delta,epsilon_0,delta_0,sigma,radius,select_method,noise,e0_ratio,cutoff,number of runs,result,variance,time,max_result,min_result,comm_cost
DBLP,FDP_Lazy,MC,20,704738,2675,10,0.01,2,1.6902792714665517e-09,0.4607638648022808,3.1488063924488666e-11,1.6861903753508003,,,laplace,,1,10,78390.7,19722102.81,42.439972023399996,86768.0,74274.0,2232250.5
DBLP,FDP_Lazy,MC,20,704738,2675,10,0.01,2,1.6902792714665517e-09,0.45891369573771557,3.1174460927085054e-11,1.6946503634443575,,,laplace,,4,10,107746.2,4000219.3600000003,46.9901182243,110626.0,104775.0,2240205.3
DBLP,FDP_Lazy,MC,20,704738,2675,10,0.01,2,1.6902792714665517e-09,0.451749068693628,2.998012187773238e-11,1.728076197367401,,,laplace,,16,10,108304.4,2171923.6399999997,46.3158674676,110250.0,105667.0,2244098.1
DBLP,FDP_Lazy,MC,20,704738,2675,10,0.01,2,1.6902792714665517e-09,0.4263520157018519,2.5996297623293625e-11,1.8557686553691188,,,laplace,,64,10,107805.4,2200356.6399999997,46.5914860402,110066.0,106007.0,2244259.0
DBLP,FDP_Lazy,MC,20,704738,2675,10,0.01,2,1.6902792714665517e-09,0.3572465100187812,1.6974083866906526e-11,2.2966055681421293,,,laplace,,256,10,107312.8,5751379.959999999,57.769429604100004,110066.0,102212.0,2242185.0
DBLP,FDP_Lazy,MC,20,704738,2675,10,0.01,2,1.6902792714665517e-09,0.24501531693129533,7.107389081938238e-12,3.5491515139685332,,,laplace,,1024,10,103941.6,10683340.440000001,52.6790954358,107345.0,96132.0,2243835.5
DBLP,FDP_PF,MC,20,704738,2675,10,0.01,2,1.6902792714665517e-09,3.141574641142074,1.6902792714665516e-08,,,,,0.8,1,10,109408.7,546559.41,83.3072525103,110336.0,108165.0,1065523.2
DBLP,FDP_PF,MC,20,704738,2675,10,0.01,2,1.6902792714665517e-09,2.4438321761375694,8.451396357332758e-09,,,,,0.8,2,10,109310.2,989937.36,157.4303764109,110626.0,107001.0,1069798.4
DBLP,FDP_PF,MC,20,704738,2675,10,0.01,2,1.6902792714665517e-09,1.8127231277571434,4.225698178666379e-09,,,,,0.8,4,10,109026.4,981742.64,305.5285630894,110626.0,106664.0,1078505.8
DBLP,FDP_PF,MC,20,704738,2675,10,0.01,2,1.6902792714665517e-09,1.49020433212442,1.0564245446665948e-09,,,,,0.8,8,10,108326.9,1449012.89,606.0955547085001,109771.0,105746.0,1095867.3
DBLP,FDP_PF,MC,20,704738,2675,10,0.01,2,1.6902792714665517e-09,1.2293401255929914,5.282122723332974e-10,,,,,0.8,16,10,104244.7,26855478.809999995,1189.2603694976,110365.0,94079.0,1130527.3
DBLP,FDP_PF,MC,20,704738,2675,10,0.01,2,1.6902792714665517e-09,0.9949077907166158,2.641061361666487e-10,,,,,0.8,32,10,100418.8,35370391.16000001,2366.4092370408,109613.0,92646.0,1199660.8
flickr,FDP_Lazy,MC,20,242364,2000,10,0.01,2,8.381038442771845e-09,0.5324658352849024,2.0858731813767658e-10,1.4025925713662633,,,laplace,,1,10,89056.8,1299674.1599999997,7.888805915100001,90648.0,87599.0,1302254.6
