dataset,algorithm,utility_func,l,n,m,k,gamma,epsilon,delta,epsilon_0,delta_0,sigma,radius,select_method,noise,e0_ratio,cutoff,number of runs,result,variance,time,max_result,min_result,comm_cost
DBLP,CDP,MC,20,704738,2675,10,0.01,0.05,1.69E-09,0.406299484,1.69E-08,,,permutation,,,,10,109642.7,563676.61,80.24852926,110626,107994,5654406.8
DBLP,CDP,MC,20,704738,2675,10,0.01,0.1,1.69E-09,0.695652394,1.69E-08,,,permutation,,,,10,109846.8,437567.16,78.38857963,110626,108424,5654395.6
DBLP,CDP,MC,20,704738,2675,10,0.01,0.25,1.69E-09,1.261726123,1.69E-08,,,permutation,,,,10,110162.7,273257.21,76.50345395,110626,109196,5654395.6
DBLP,CDP,MC,20,704738,2675,10,0.01,0.5,1.69E-09,1.812723128,1.69E-08,,,permutation,,,,10,110125.1,251140.89,77.82033959,110626,109196,5654395
DBLP,CDP,MC,20,704738,2675,10,0.01,1,1.69E-09,2.443832176,1.69E-08,,,permutation,,,,10,110125.1,251140.89,76.89804867,110626,109196,5654395
DBLP,CDP,MC,20,704738,2675,10,0.01,2,1.69E-09,3.141574641,1.69E-08,,,permutation,,,,10,110239.1,156270.09,75.69776249,110626,109497,14.93 
DBLP,CDP,MC,20,704738,2675,10,0.01,4,1.69E-09,3.915665758,1.69E-08,,,permutation,,,,10,110239.1,156270.09,76.24918454,110626,109497,5654398.7
DBLP,CDP,MC,20,704738,2675,10,0.01,8,1.69E-09,4.816679059,1.69E-08,,,permutation,,,,10,110239.1,156270.09,76.4715414,110626,109497,5654398.7
DBLP,CDP,MC,20,704738,2675,10,0.01,12,1.69E-09,5.451088634,1.69E-08,,,permutation,,,,10,110239.1,156270.09,76.59250634,110626,109497,5654398.7
DBLP,CDP,MC,20,704738,2675,10,0.01,16,1.69E-09,5.982179682,1.69E-08,,,permutation,,,,10,110239.1,156270.09,76.66996079,110626,109497,5654398.7
DBLP,CDP,MC,20,704738,2675,10,0.01,20,1.69E-09,6.461320681,1.69E-08,,,permutation,,,,10,110213,142204.8,76.8183351,110626,109497,5654398.4
DBLP,FDP,MC,20,704738,2675,10,0.01,0.05,1.69E-09,0.004715572,3.16E-12,208.0336504,,,laplace,,,10,7980.4,34411863.84,80.07958046,19503,2108,14690424.5
DBLP,FDP,MC,20,704738,2675,10,0.01,0.1,1.69E-09,0.009403646,3.16E-12,104.0810384,,,laplace,,,10,7980.4,34411863.84,79.82969054,19503,2108,14696818.8
DBLP,FDP,MC,20,704738,2675,10,0.01,0.25,1.69E-09,0.023305864,3.16E-12,41.7092819,,,laplace,,,10,9472.1,40237960.29,80.09177563,19503,2108,14683661.6
DBLP,FDP,MC,20,704738,2675,10,0.01,0.5,1.69E-09,0.045953419,3.16E-12,20.91838449,,,laplace,,,10,17048.3,122187959.6,79.26817083,33571,2704,14709866.9
DBLP,FDP,MC,20,704738,2675,10,0.01,1,1.69E-09,0.089407852,3.16E-12,10.5223635,,,laplace,,,10,37039.3,172038080.2,80.38729248,52500,6136,14733706.4
DBLP,FDP,MC,20,704738,2675,10,0.01,2,1.69E-09,0.169763718,3.16E-12,5.323254667,,,laplace,,,10,88281.2,91238382.56,79.94766453,102304,70248,14.07 
DBLP,FDP,MC,20,704738,2675,10,0.01,4,1.69E-09,0.309284015,3.16E-12,2.721669878,,,laplace,,,10,105795.8,8728863.16,79.61077697,110626,100261,14809930.1
DBLP,FDP,MC,20,704738,2675,10,0.01,8,1.69E-09,0.529412075,3.16E-12,1.417363356,,,laplace,,,10,108822.8,2598469.76,79.87875806,110626,104754,14902878.1
DBLP,FDP,MC,20,704738,2675,10,0.01,12,1.69E-09,0.6990814,3.16E-12,0.980003673,,,laplace,,,10,109316.6,1254184.44,79.47648323,110626,107125,14956438.9
DBLP,FDP,MC,20,704738,2675,10,0.01,16,1.69E-09,0.836463349,3.16E-12,0.759733665,,,laplace,,,10,109592.3,1266267.41,80.99259182,110626,107125,14990365.7
DBLP,FDP,MC,20,704738,2675,10,0.01,20,1.69E-09,0.95150486,3.16E-12,0.626505535,,,laplace,,,10,109566.2,1218439.16,80.41576765,110626,107125,15014221.5
DBLP,FDP_Lazy,MC,20,704738,2675,10,0.01,0.05,1.69E-09,0.014456114,3.00E-11,67.53349634,,,laplace,,16,10,7271.6,20218825.04,57.46095972,17793,1629,2261597.8
DBLP,FDP_Lazy,MC,20,704738,2675,10,0.01,0.1,1.69E-09,0.028691399,3.00E-11,33.78759354,,,laplace,,16,10,10279.5,31897209.65,57.08324733,19065,2641,2261814.9
DBLP,FDP_Lazy,MC,20,704738,2675,10,0.01,0.25,1.69E-09,0.070135512,3.00E-11,13.53999043,,,laplace,,16,10,34037.6,82507622.44,54.86849744,51554,17119,2264213.7
DBLP,FDP_Lazy,MC,20,704738,2675,10,0.01,0.5,1.69E-09,0.135344431,3.00E-11,6.790688138,,,laplace,,16,10,79258.2,33411163.16,49.79227174,86846,69440,2253177.1
DBLP,FDP_Lazy,MC,20,704738,2675,10,0.01,1,1.69E-09,0.25338904,3.00E-11,3.415851211,,,laplace,,16,10,102779.9,4604545.89,42.20649849,105544,98631,2239641
