dataset,algorithm,utility_func,l,n,m,k,gamma,epsilon,delta,epsilon_0,delta_0,sigma,radius,select_method,noise,e0_ratio,cutoff,number of runs,result,variance,time,max_result,min_result,comm_cost
DBLP,FDP_PF,MC,20,704738,2675,10,0.01,2,1.6902792714665517e-09,2.4438321761375694,8.451396357332758e-09,,,,,0.058823529411764705,2,10,73816.3,27311524.01,159.90543240259998,84606.0,66534.0,1070237.8
DBLP,FDP_PF,MC,20,704738,2675,10,0.01,2,1.6902792714665517e-09,2.4438321761375694,8.451396357332758e-09,,,,,0.1111111111111111,2,10,87604.2,41186165.160000004,161.4569065121,98789.0,76601.0,1070185.8
DBLP,FDP_PF,MC,20,704738,2675,10,0.01,2,1.6902792714665517e-09,2.4438321761375694,8.451396357332758e-09,,,,,0.2,2,10,102922.0,11967027.2,162.6352391837,108542.0,98069.0,1070139.1
DBLP,FDP_PF,MC,20,704738,2675,10,0.01,2,1.6902792714665517e-09,2.4438321761375694,8.451396357332758e-09,,,,,0.3333333333333333,2,10,107300.3,4405636.01,163.30011276949998,110365.0,103691.0,1070011.8
DBLP,FDP_PF,MC,20,704738,2675,10,0.01,2,1.6902792714665517e-09,2.4438321761375694,8.451396357332758e-09,,,,,0.5,2,10,108979.3,968657.61,155.39206477470003,110250.0,106842.0,1069897.8
DBLP,FDP_PF,MC,20,704738,2675,10,0.01,2,1.6902792714665517e-09,2.4438321761375694,8.451396357332758e-09,,,,,0.6666666666666666,2,10,109274.4,1634396.84,160.5978097231,110626.0,106535.0,1069841.5
DBLP,FDP_PF,MC,20,704738,2675,10,0.01,2,1.6902792714665517e-09,2.4438321761375694,8.451396357332758e-09,,,,,0.8,2,10,109310.2,989937.36,162.2515732876,110626.0,107001.0,1069798.4
DBLP,FDP_PF,MC,20,704738,2675,10,0.01,2,1.6902792714665517e-09,2.4438321761375694,8.451396357332758e-09,,,,,0.8888888888888888,2,10,109420.8,810174.5599999999,162.8774785502,110626.0,107775.0,1069780.6
DBLP,FDP_PF,MC,20,704738,2675,10,0.01,2,1.6902792714665517e-09,2.4438321761375694,8.451396357332758e-09,,,,,0.9411764705882353,2,10,109717.7,1313027.4099999997,162.4524250097,110626.0,106556.0,1069802.8
flickr,FDP_PF,MC,20,242364,2000,10,0.01,2,8.381038442771845e-09,2.4438321761375694,4.190519221385922e-08,,,,,0.058823529411764705,2,10,70995.7,92663040.80999999,43.2671460527,86579.0,52362.0,445100.8
flickr,FDP_PF,MC,20,242364,2000,10,0.01,2,8.381038442771845e-09,2.4438321761375694,4.190519221385922e-08,,,,,0.1111111111111111,2,10,79723.7,16766961.809999999,41.4106319811,89052.0,73640.0,445066.1
flickr,FDP_PF,MC,20,242364,2000,10,0.01,2,8.381038442771845e-09,2.4438321761375694,4.190519221385922e-08,,,,,0.2,2,10,83370.2,12484044.16,41.709379614199996,87803.0,75712.0,445023.0
flickr,FDP_PF,MC,20,242364,2000,10,0.01,2,8.381038442771845e-09,2.4438321761375694,4.190519221385922e-08,,,,,0.3333333333333333,2,10,87454.8,9060650.159999998,43.9868511333,92191.0,83005.0,444957.2
flickr,FDP_PF,MC,20,242364,2000,10,0.01,2,8.381038442771845e-09,2.4438321761375694,4.190519221385922e-08,,,,,0.5,2,10,91578.1,4958919.89,42.1129385205,94173.0,87013.0,444919.7
flickr,FDP_PF,MC,20,242364,2000,10,0.01,2,8.381038442771845e-09,2.4438321761375694,4.190519221385922e-08,,,,,0.6666666666666666,2,10,93293.1,3427926.4899999998,41.59148018020001,96310.0,89805.0,444874.5
flickr,FDP_PF,MC,20,242364,2000,10,0.01,2,8.381038442771845e-09,2.4438321761375694,4.190519221385922e-08,,,,,0.8,2,10,93855.7,2369092.61,44.30962595689999,96336.0,91968.0,444831.7
flickr,FDP_PF,MC,20,242364,2000,10,0.01,2,8.381038442771845e-09,2.4438321761375694,4.190519221385922e-08,,,,,0.8888888888888888,2,10,92157.4,5308946.4399999995,42.9767341138,95675.0,88008.0,444810.3
flickr,FDP_PF,MC,20,242364,2000,10,0.01,2,8.381038442771845e-09,2.4438321761375694,4.190519221385922e-08,,,,,0.9411764705882353,2,10,91349.6,10574718.44,43.201692991,94976.0,83007.0,444791.1
foursquare,FDP_PF,FL,20,100000,1132,10,0.01,2,3.162277660168379e-08,2.4438321761375694,1.5811388300841896e-07,,956.9665572,,,0.058823529411764705,2,10,55345.58774809005,1712228.3324443377,34.5673015152,57052.68807611364,53176.56798225256,729123.7
foursquare,FDP_PF,FL,20,100000,1132,10,0.01,2,3.162277660168379e-08,2.4438321761375694,1.5811388300841896e-07,,956.9665572,,,0.1111111111111111,2,10,55485.45963648228,877214.9802315377,35.7788097006,56710.89778887499,53391.44701909657,729118.9
foursquare,FDP_PF,FL,20,100000,1132,10,0.01,2,3.162277660168379e-08,2.4438321761375694,1.5811388300841896e-07,,956.9665572,,,0.2,2,10,56130.16966305302,1090389.263763773,34.3798588868,57618.76968621442,54117.523487783175,729083.2
