dataset,algorithm,utility_func,l,n,m,k,gamma,epsilon,delta,epsilon_0,delta_0,sigma,radius,select_method,noise,e0_ratio,cutoff,number of runs,result,variance,time,max_result,min_result,comm_cost
DBLP,CDP,MC,20,704738,2675,10,0.0009765625,2,1.6902792714665517e-09,5.428101102027468,1.730845973981749e-07,,,permutation,,,,10,105436.2,6766897.760000001,17.318133278799998,110626.0,101082.0,5654316.0
DBLP,CDP,MC,20,704738,2675,10,0.001953125,2,1.6902792714665517e-09,4.739335734051103,8.654229869908745e-08,,,permutation,,,,10,107687.0,3881889.4,24.0419178844,109079.0,102131.0,5654320.0
DBLP,CDP,MC,20,704738,2675,10,0.00390625,2,1.6902792714665517e-09,4.054894995093139,4.3271149349543725e-08,,,permutation,,,,10,109560.8,911737.36,39.2424543129,110365.0,107171.0,5654316.0
DBLP,CDP,MC,20,704738,2675,10,0.0078125,2,1.6902792714665517e-09,3.3789365389417383,2.1635574674771863e-08,,,permutation,,,,10,110194.8,253109.15999999997,69.51916334789999,110626.0,109292.0,5654339.1
DBLP,CDP,MC,20,704738,2675,10,0.015625,2,1.6902792714665517e-09,2.7193050616929897,1.0817787337385931e-08,,,permutation,,,,10,110049.0,96014.8,127.3319952006,110365.0,109492.0,5654834.3
DBLP,CDP,MC,20,704738,2675,10,0.03125,2,1.6902792714665517e-09,2.0899966724172314,5.408893668692966e-09,,,permutation,,,,10,110297.6,155362.83999999997,247.88030755389997,110626.0,109196.0,5657695.1
DBLP,CDP,MC,20,704738,2675,10,0.0625,2,1.6902792714665517e-09,1.5134652219418245,2.704446834346483e-09,,,permutation,,,,10,110501.9,40209.29,495.04654105279997,110626.0,110051.0,5665412.5
DBLP,CDP,MC,20,704738,2675,10,0.125,2,1.6902792714665517e-09,1.0192884017104282,1.3522234171732414e-09,,,permutation,,,,10,110468.7,41704.009999999995,1018.1171893909999,110626.0,110066.0,5685594.1
DBLP,CDP,MC,20,704738,2675,10,0.25,2,1.6902792714665517e-09,0.6342519236200578,6.761117085866207e-10,,,permutation,,,,10,110599.9,6130.89,2050.8737841540997,110626.0,110365.0,5732435.8
DBLP,CDP,MC,20,704738,2675,10,0.5,2,1.6902792714665517e-09,0.36658949338367214,3.3805585429331035e-10,,,permutation,,,,10,110626.0,0.0,4331.726035426001,110626.0,110626.0,5824661.9
DBLP,CDP,MC,20,704738,2675,10,1,2,1.6902792714665517e-09,0.2,1.6902792714665518e-10,,,permutation,,,,10,110626.0,0.0,8599.0999519406,110626.0,110626.0,5953284.1
DBLP,FDP,MC,20,704738,2675,10,0.0009765625,2,1.6902792714665517e-09,1.0628656355596358,3.235226119592054e-11,0.5198490885271148,,,laplace,,,10,56917.7,168566700.01000002,18.7441884888,81515.0,35584.0,15086365.1
DBLP,FDP,MC,20,704738,2675,10,0.001953125,2,1.6902792714665517e-09,0.6664576987198363,1.617613059796027e-11,1.0396981770542295,,,laplace,,,10,69405.1,85345888.49,25.0266581911,85709.0,55700.0,14979033.5
DBLP,FDP,MC,20,704738,2675,10,0.00390625,2,1.6902792714665517e-09,0.38775150095137484,8.088065298980136e-12,2.079396354108459,,,laplace,,,10,77230.3,69181874.81000002,40.795964857,89874.0,65407.0,14860275.3
DBLP,FDP,MC,20,704738,2675,10,0.0078125,2,1.6902792714665517e-09,0.2125530836753146,4.044032649490068e-12,4.158792708216918,,,laplace,,,10,86613.6,53199599.64,69.8390563744,102304.0,72244.0,14769932.2
DBLP,FDP,MC,20,704738,2675,10,0.015625,2,1.6902792714665517e-09,0.11191329455976326,2.022016324745034e-12,8.317585416433836,,,laplace,,,10,86984.2,67975143.56,127.00769734619999,96682.0,72244.0,14734794.8
DBLP,FDP,MC,20,704738,2675,10,0.03125,2,1.6902792714665517e-09,0.057521404142345856,1.011008162372517e-12,16.635170832867672,,,laplace,,,10,90606.3,93309008.61,244.17610810100004,103208.0,72752.0,14713572.2
DBLP,FDP,MC,20,704738,2675,10,0.0625,2,1.6902792714665517e-09,0.029174234056942316,5.055040811862585e-13,33.270341665735344,,,laplace,,,10,88276.0,82068259.8,496.1713376146,99931.0,72752.0,14680708.9
DBLP,FDP,MC,20,704738,2675,10,0.125,2,1.6902792714665517e-09,0.014693505247201102,2.5275204059312924e-13,66.54068333147069,,,laplace,,,10,87686.6,85166942.44,1060.4629379956,99931.0,72752.0,14676892.1
DBLP,FDP,MC,20,704738,2675,10,0.25,2,1.6902792714665517e-09,0.007373739767887216,1.2637602029656462e-13,133.08136666294138,,,laplace,,,10,88114.7,76489946.21000001,2115.9499065523,99931.0,72752.0,14689299.2
DBLP,FDP,MC,20,704738,2675,10,0.5,2,1.6902792714665517e-09,0.003693666373316737,6.318801014828231e-14,266.16273332588275,,,laplace,,,10,87862.2,70800005.76,4118.1700662608,96682.0,72752.0,14671414.6
DBLP,FDP,MC,20,704738,2675,10,1,2,1.6902792714665517e-09,0.0018485385820985816,3.1594005074141155e-14,532.3254666517655,,,laplace,,,10,87862.2,70800005.75999999,8564.056742670302,96682.0,72752.0,14659936.7
flickr,CDP,MC,20,242364,2000,10,0.0009765625,2,8.381038442771845e-09,5.428101102027468,8.582183365398369e-07,,,permutation,,,,10,91659.8,4739297.16,6.178099209200001,94545.0,88465.0,3814300.0
flickr,CDP,MC,20,242364,2000,10,0.001953125,2,8.381038442771845e-09,4.739335734051103,4.2910916826991844e-07,,,permutation,,,,10,95395.6,2977859.84,7.2656562666000015,97187.0,92433.0,3814292.2
flickr,CDP,MC,20,242364,2000,10,0.00390625,2,8.381038442771845e-09,4.054894995093139,2.1455458413495922e-07,,,permutation,,,,10,96508.9,536571.29,10.875236173000001,97629.0,95186.0,3814285.4
flickr,CDP,MC,20,242364,2000,10,0.0078125,2,8.381038442771845e-09,3.3789365389417383,1.0727729206747961e-07,,,permutation,,,,10,97264.0,161838.8,17.7231223642,97629.0,96547.0,3814372.1
flickr,CDP,MC,20,242364,2000,10,0.015625,2,8.381038442771845e-09,2.7193050616929897,5.3638646033739805e-08,,,permutation,,,,10,97407.1,56723.69,33.2499091716,97629.0,96979.0,3814800.0
flickr,CDP,MC,20,242364,2000,10,0.03125,2,8.381038442771845e-09,2.0899966724172314,2.6819323016869902e-08,,,permutation,,,,10,97406.9,43445.69,64.21202342859999,97629.0,97042.0,3816796.3
flickr,CDP,MC,20,242364,2000,10,0.0625,2,8.381038442771845e-09,1.5134652219418245,1.3409661508434951e-08,,,permutation,,,,10,97560.6,7050.240000000001,123.10259126060001,97629.0,97449.0,3824915.1
flickr,CDP,MC,20,242364,2000,10,0.125,2,8.381038442771845e-09,1.0192884017104282,6.704830754217476e-09,,,permutation,,,,10,97612.8,2361.959999999999,241.90886627460003,97629.0,97467.0,3855036.5
flickr,CDP,MC,20,242364,2000,10,0.25,2,8.381038442771845e-09,0.6342519236200578,3.352415377108738e-09,,,permutation,,,,10,97612.8,2361.959999999999,486.31796990989994,97629.0,97467.0,3936484.9
flickr,CDP,MC,20,242364,2000,10,0.5,2,8.381038442771845e-09,0.36658949338367214,1.676207688554369e-09,,,permutation,,,,10,97629.0,0.0,966.3155474746998,97629.0,97629.0,4052674.0
flickr,CDP,MC,20,242364,2000,10,1,2,8.381038442771845e-09,0.2,8.381038442771845e-10,,,permutation,,,,10,97629.0,0.0,1948.6533324019997,97629.0,97629.0,4167123.0
flickr,FDP,MC,20,242364,2000,10,0.0009765625,2,8.381038442771845e-09,1.186777124336801,2.1455458413495923e-10,0.4321719813538492,,,laplace,,,10,67225.0,34704651.0,6.1280317959,76004.0,55156.0,10879631.6
flickr,FDP,MC,20,242364,2000,10,0.001953125,2,8.381038442771845e-09,0.759988767846331,1.0727729206747961e-10,0.8643439627076984,,,laplace,,,10,70550.8,20817537.16,8.6237388976,80018.0,65472.0,10801546.9
flickr,FDP,MC,20,242364,2000,10,0.00390625,2,8.381038442771845e-09,0.45051884119840324,5.363864603373981e-11,1.7286879254153968,,,laplace,,,10,75884.9,16726296.09,11.950311314199999,82355.0,68802.0,10712318.9
flickr,FDP,MC,20,242364,2000,10,0.0078125,2,8.381038442771845e-09,0.2504186222301218,2.6819323016869904e-11,3.4573758508307937,,,laplace,,,10,76576.6,22545496.240000002,18.772336706399997,82897.0,68802.0,10634912.3
flickr,FDP,MC,20,242364,2000,10,0.015625,2,8.381038442771845e-09,0.13302760046587767,1.3409661508434952e-11,6.914751701661587,,,laplace,,,10,78159.3,12963713.809999999,32.769803452699996,82383.0,69090.0,10598980.5
flickr,FDP,MC,20,242364,2000,10,0.03125,2,8.381038442771845e-09,0.06872421392084117,6.704830754217476e-12,13.829503403323175,,,laplace,,,10,78219.3,17766705.209999997,63.9026961423,85201.0,70721.0,10584723.5
flickr,FDP,MC,20,242364,2000,10,0.0625,2,8.381038442771845e-09,0.03495236801262401,3.352415377108738e-12,27.65900680664635,,,laplace,,,10,78807.7,22260649.21,122.45367124680001,86067.0,71147.0,10560473.3
flickr,FDP,MC,20,242364,2000,10,0.125,2,8.381038442771845e-09,0.017628884737360573,1.676207688554369e-12,55.3180136132927,,,laplace,,,10,78429.9,21049882.089999996,241.1796317887,84790.0,70721.0,10549952.2
flickr,FDP,MC,20,242364,2000,10,0.25,2,8.381038442771845e-09,0.008853289062791193,8.381038442771845e-13,110.6360272265854,,,laplace,,,10,80212.2,15897752.36,477.5310891728999,85201.0,74134.0,10560504.4
flickr,FDP,MC,20,242364,2000,10,0.5,2,8.381038442771845e-09,0.004436442090301835,4.1905192213859225e-13,221.2720544531708,,,laplace,,,10,79586.4,23469056.240000002,975.5459996117,85201.0,70721.0,10553317.1
flickr,FDP,MC,20,242364,2000,10,1,2,8.381038442771845e-09,0.0022206812954358814,2.0952596106929612e-13,442.5441089063416,,,laplace,,,10,79600.3,23519322.810000002,1930.2972726666999,85201.0,70721.0,10539035.3
foursquare,CDP,FL,20,100000,1132,10,0.0009765625,2,3.162277660168379e-08,5.428101102027468,3.23817232401242e-06,,956.9665572,permutation,,,,10,56668.11589634494,911113.9815945548,3.4122239498,57856.51288653023,55080.77645718807,4881505.9
foursquare,CDP,FL,20,100000,1132,10,0.001953125,2,3.162277660168379e-08,4.739335734051103,1.61908616200621e-06,,956.9665572,permutation,,,,10,57394.694253523914,906658.5733451102,4.8587718285,59121.93245053884,56067.728892679785,5578824.9
foursquare,CDP,FL,20,100000,1132,10,0.00390625,2,3.162277660168379e-08,4.054894995093139,8.09543081003105e-07,,956.9665572,permutation,,,,10,58144.675140670035,199559.50071343826,7.333189179500001,58757.1061966045,57489.73362978997,6236507.1
foursquare,CDP,FL,20,100000,1132,10,0.0078125,2,3.162277660168379e-08,3.3789365389417383,4.047715405015525e-07,,956.9665572,permutation,,,,10,58421.81055597449,182370.50710574936,13.6875191599,58986.178887591435,57738.55123072577,6643655.8
foursquare,CDP,FL,20,100000,1132,10,0.015625,2,3.162277660168379e-08,2.7193050616929897,2.0238577025077626e-07,,956.9665572,permutation,,,,10,58781.152798288946,252772.47914619202,23.2892394369,59792.13256603083,58076.22887221744,6765989.5
foursquare,CDP,FL,20,100000,1132,10,0.03125,2,3.162277660168379e-08,2.0899966724172314,1.0119288512538813e-07,,956.9665572,permutation,,,,10,58739.44777356151,128810.18928221424,44.7849411856,59405.956947209335,58198.49776428836,6751194.3
foursquare,CDP,FL,20,100000,1132,10,0.0625,2,3.162277660168379e-08,1.5134652219418245,5.0596442562694066e-08,,956.9665572,permutation,,,,10,58964.18654929996,66301.56143574597,88.28344371920001,59280.37782635935,58526.91226095161,6691331.1
foursquare,CDP,FL,20,100000,1132,10,0.125,2,3.162277660168379e-08,1.0192884017104282,2.5298221281347033e-08,,956.9665572,permutation,,,,10,58995.59598704819,66798.93857319393,173.292880212,59403.646350109906,58594.77287697487,6677963.3
foursquare,CDP,FL,20,100000,1132,10,0.25,2,3.162277660168379e-08,0.6342519236200578,1.2649110640673516e-08,,956.9665572,permutation,,,,10,59273.40560560962,28887.879979524598,343.8418739941,59494.416390338796,58835.2601874002,6698689.1
foursquare,CDP,FL,20,100000,1132,10,0.5,2,3.162277660168379e-08,0.36658949338367214,6.324555320336758e-09,,956.9665572,permutation,,,,10,59247.42284559245,6917.788990018082,677.4692060991,59372.636808763025,59130.656324559925,6688131.3
foursquare,CDP,FL,20,100000,1132,10,1,2,3.162277660168379e-08,0.2,3.162277660168379e-09,,956.9665572,permutation,,,,10,59312.4363972644,9289.052241361167,1341.4778018117,59446.48810623904,59196.14220516515,6654375.6
foursquare,FDP,FL,20,100000,1132,10,0.0009765625,2,3.162277660168379e-08,1.4186500966110611,1.430288128980751e-09,0.31391164792450194,956.9665572,,laplace,,,10,52374.35945473085,5219322.594651779,3.6264195070999996,55731.44424606178,47432.11226295109,6991725.8
foursquare,FDP,FL,20,100000,1132,10,0.001953125,2,3.162277660168379e-08,0.9422585301065934,7.151440644903755e-10,0.6278232958490039,956.9665572,,laplace,,,10,53154.46244529939,2220414.017894347,4.9369274169,55258.33847542814,51109.20596347278,6946914.8
foursquare,FDP,FL,20,100000,1132,10,0.00390625,2,3.162277660168379e-08,0.5782327679607524,3.5757203224518773e-10,1.2556465916980077,956.9665572,,laplace,,,10,53850.63286819332,2517249.3837773865,7.6552244895,55871.263352141985,51094.71170781944,6895125.7
foursquare,FDP,FL,20,100000,1132,10,0.0078125,2,3.162277660168379e-08,0.3303409334551768,1.7878601612259386e-10,2.5112931833960155,956.9665572,,laplace,,,10,53721.60473637318,1562957.6033436304,13.202989917,55078.3769055284,51512.8658981275,6843352.0
foursquare,FDP,FL,20,100000,1132,10,0.015625,2,3.162277660168379e-08,0.17874953340903998,8.939300806129693e-11,5.022586366792031,956.9665572,,laplace,,,10,53468.20312321574,4303762.780614359,23.7610079369,57701.173579089096,50768.42134258489,6813798.9
foursquare,FDP,FL,20,100000,1132,10,0.03125,2,3.162277660168379e-08,0.0933633853206802,4.4696504030648466e-11,10.045172733584062,956.9665572,,laplace,,,10,54137.2102378314,3872999.842254322,44.035186382000006,57701.173579089096,50907.07654662602,6805476.6
foursquare,FDP,FL,20,100000,1132,10,0.0625,2,3.162277660168379e-08,0.04777088736936104,2.2348252015324233e-11,20.090345467168124,956.9665572,,laplace,,,10,54274.681065853874,2701908.707557471,85.62153361159999,57701.173579089096,51473.86747416761,6793612.6
foursquare,FDP,FL,20,100000,1132,10,0.125,2,3.162277660168379e-08,0.024170673774921426,1.1174126007662117e-11,40.18069093433625,956.9665572,,laplace,,,10,54146.15260182034,3154828.838681805,169.51304950699998,57701.173579089096,50909.44045424558,6782652.5
foursquare,FDP,FL,20,100000,1132,10,0.25,2,3.162277660168379e-08,0.012158362793690787,5.587063003831058e-12,80.3613818686725,956.9665572,,laplace,,,10,54070.17163316939,4595127.892899011,342.4396002431,57701.173579089096,50697.98501415354,6787321.6
foursquare,FDP,FL,20,100000,1132,10,0.5,2,3.162277660168379e-08,0.00609765950625948,2.793531501915529e-12,160.722763737345,956.9665572,,laplace,,,10,54010.984092981365,3125158.5478565395,682.9048191364,57701.173579089096,50909.44045424558,6788514.0
foursquare,FDP,FL,20,100000,1132,10,1,2,3.162277660168379e-08,0.003053477427361228,1.3967657509577646e-12,321.44552747469,956.9665572,,laplace,,,10,53836.62612092006,3591731.980686087,1345.5994719493,57701.173579089096,50697.98501415354,6777646.0
uber,CDP,FL,20,564516,1000,10,0.0009765625,2,2.357684110647016e-09,5.428101102027468,2.4142685293025444e-07,,1256.426663,permutation,,,,10,459345.6402347807,2199363.552862197,23.972033293099997,461424.5928333107,456213.5187050492,4526721.7
uber,CDP,FL,20,564516,1000,10,0.001953125,2,2.357684110647016e-09,4.739335734051103,1.2071342646512722e-07,,1256.426663,permutation,,,,10,460486.67913119355,2943857.2044596784,33.7519167435,462727.4653093059,457646.17620019347,4884771.7
uber,CDP,FL,20,564516,1000,10,0.00390625,2,2.357684110647016e-09,4.054894995093139,6.035671323256361e-08,,1256.426663,permutation,,,,10,461140.63699551875,3873972.605566471,51.6561868451,463457.92972217605,457409.2997399508,5185718.3
uber,CDP,FL,20,564516,1000,10,0.0078125,2,2.357684110647016e-09,3.3789365389417383,3.0178356616281805e-08,,1256.426663,permutation,,,,10,460588.3672318325,3257866.4834075724,87.9048108682,462862.92412176036,456881.8646307037,5367729.9
uber,CDP,FL,20,564516,1000,10,0.015625,2,2.357684110647016e-09,2.7193050616929897,1.5089178308140902e-08,,1256.426663,permutation,,,,10,460979.62255656265,3469097.9936852055,159.4123357769,462939.2261096272,457408.2275723872,5540775.6
uber,CDP,FL,20,564516,1000,10,0.03125,2,2.357684110647016e-09,2.0899966724172314,7.544589154070451e-09,,1256.426663,permutation,,,,10,459935.3801264479,1736226.0901244495,295.2805596588,462751.17954081093,458411.6905895061,5665771.6
uber,CDP,FL,20,564516,1000,10,0.0625,2,2.357684110647016e-09,1.5134652219418245,3.772294577035226e-09,,1256.426663,permutation,,,,10,460213.9162809669,1754599.3287667516,588.4906544255001,462997.08520529163,458411.6905895061,5762936.6
uber,CDP,FL,20,564516,1000,10,0.125,2,2.357684110647016e-09,1.0192884017104282,1.886147288517613e-09,,1256.426663,permutation,,,,10,460382.3487738484,372470.8155816476,1152.4244190583001,460931.62504456704,458778.56887244794,5794402.8
uber,CDP,FL,20,564516,1000,10,0.25,2,2.357684110647016e-09,0.6342519236200578,9.430736442588064e-10,,1256.426663,permutation,,,,10,460468.64600900206,79371.21044228661,2322.7692508339996,460931.62504456704,460252.8797905909,5792080.6
uber,CDP,FL,20,564516,1000,10,0.5,2,2.357684110647016e-09,0.36658949338367214,4.715368221294032e-10,,1256.426663,permutation,,,,10,460365.49395413045,35889.606176140944,4811.9097166396,460931.62504456704,460252.87979059084,5787051.1
uber,CDP,FL,20,564516,1000,10,1,2,2.357684110647016e-09,0.2,2.357684110647016e-10,,1256.426663,permutation,,,,10,460308.80433826835,2.7105054312137612e-21,9264.401017945198,460308.80433826835,460308.80433826824,5765073.8
uber,FDP,FL,20,564516,1000,10,0.0009765625,2,2.357684110647016e-09,1.4169473093748068,1.2071342646512722e-10,0.31533744229186034,1256.426663,,laplace,,,10,450562.7132868559,24802950.34030394,24.909289370699998,455951.49671255343,440129.4141551396,5948851.9
uber,FDP,FL,20,564516,1000,10,0.001953125,2,2.357684110647016e-09,0.9408877981664862,6.035671323256361e-11,0.6306748845837207,1256.426663,,laplace,,,10,452994.9826082753,25707517.150306255,33.2256273681,460563.7331645284,443734.0907418108,5908131.1
uber,FDP,FL,20,564516,1000,10,0.00390625,2,2.357684110647016e-09,0.577246639671901,3.0178356616281804e-11,1.2613497691674413,1256.426663,,laplace,,,10,454664.60032442847,22347804.83081244,51.9103841876,460576.9223991279,446407.03850664827,5862767.0
uber,FDP,FL,20,564516,1000,10,0.0078125,2,2.357684110647016e-09,0.3297092717962096,1.5089178308140902e-11,2.5226995383348827,1256.426663,,laplace,,,10,455111.2885854845,9448620.717003267,87.5830037682,460188.05408670584,448379.78528661444,5821427.6
uber,FDP,FL,20,564516,1000,10,0.015625,2,2.357684110647016e-09,0.17838205445827196,7.544589154070451e-12,5.045399076669765,1256.426663,,laplace,,,10,455412.3704365683,15660735.945195664,158.38122692250005,460786.6096536571,448379.78528661444,5802087.4
uber,FDP,FL,20,564516,1000,10,0.03125,2,2.357684110647016e-09,0.09316328450406627,3.7722945770352255e-12,10.09079815333953,1256.426663,,laplace,,,10,456470.5447937157,17100272.553912297,299.4978559071,461115.17088484997,448379.78528661444,5794907.3
uber,FDP,FL,20,564516,1000,10,0.0625,2,2.357684110647016e-09,0.04766617482249187,1.8861472885176127e-12,20.18159630667906,1256.426663,,laplace,,,10,456190.70326373226,11531315.72786009,584.6824598718,461115.17088484997,450601.07081091753,5784892.2
uber,FDP,FL,20,564516,1000,10,0.125,2,2.357684110647016e-09,0.024117068556240573,9.430736442588064e-13,40.36319261335812,1256.426663,,laplace,,,10,456190.70326373226,11531315.72786009,1181.1946730193001,461115.17088484997,450601.07081091753,5778208.0
uber,FDP,FL,20,564516,1000,10,0.25,2,2.357684110647016e-09,0.012131236640693668,4.715368221294032e-13,80.72638522671625,1256.426663,,laplace,,,10,455921.87042462453,14513968.63843208,2302.7975486742,461115.17088484997,448379.78528661444,5781173.0
uber,FDP,FL,20,564516,1000,10,0.5,2,2.357684110647016e-09,0.006084014070349415,2.357684110647016e-13,161.4527704534325,1256.426663,,laplace,,,10,456443.3771728268,11292526.015163008,4747.3572487966,461115.17088484997,448379.78528661444,5781693.8
uber,FDP,FL,20,564516,1000,10,1,2,2.357684110647016e-09,0.0030466339314396728,1.178842055323508e-13,322.905540906865,1256.426663,,laplace,,,10,456969.3396352942,5299961.332877032,9403.835949021,461115.17088484997,453639.40991128865,5773569.6
