dataset,algorithm,utility_func,l,n,m,k,gamma,epsilon,delta,epsilon_0,delta_0,sigma,radius,select_method,noise,e0_ratio,cutoff,number of runs,result,variance,time,max_result,min_result,comm_cost
DBLP,CDP,MC,20,704738,2675,1,0.01,2,1.69E-09,6.461320681,1.69E-07,,,permutation,,,,10,15271.3,39518.21,7.718794757,15485,14913,1519980.3
DBLP,CDP,MC,20,704738,2675,2,0.01,2,1.69E-09,5.152297938,8.45E-08,,,permutation,,,,10,30222.6,65268.44,15.71960019,30500,29669,1979379.5
DBLP,CDP,MC,20,704738,2675,4,0.01,2,1.69E-09,4.187715394,4.23E-08,,,permutation,,,,10,56433.7,58178.41,30.59399298,56946,56061,2898141.8
DBLP,CDP,MC,20,704738,2675,6,0.01,2,1.69E-09,3.702812993,2.82E-08,,,permutation,,,,10,77592,395902.8,45.51390951,77922,75789,3816899.5
DBLP,CDP,MC,20,704738,2675,8,0.01,2,1.69E-09,3.381081122,2.11E-08,,,permutation,,,,10,94859.7,560774.61,61.30639891,95614,93252,4735647.5
DBLP,CDP,MC,20,704738,2675,10,0.01,2,1.69E-09,3.141574641,1.69E-08,,,permutation,,,,10,110239.1,156270.09,76.65121738,110626,109497,5654398.7
DBLP,CDP,MC,20,704738,2675,12,0.01,2,1.69E-09,2.951573535,1.41E-08,,,permutation,,,,10,123318.6,455441.44,91.36598535,123958,121820,6573151.4
DBLP,CDP,MC,20,704738,2675,14,0.01,2,1.69E-09,2.794625341,1.21E-08,,,permutation,,,,10,135159.6,448237.44,106.5440118,136288,134232,7491899.5
DBLP,CDP,MC,20,704738,2675,16,0.01,2,1.69E-09,2.661297132,1.06E-08,,,permutation,,,,10,146309.6,312639.64,120.9595818,147020,145383,8410647.6
DBLP,CDP,MC,20,704738,2675,18,0.01,2,1.69E-09,2.545680819,9.39E-09,,,permutation,,,,10,156328.4,187625.04,138.0886636,156881,155466,9329403.6
DBLP,CDP,MC,20,704738,2675,20,0.01,2,1.69E-09,2.443832176,8.45E-09,,,permutation,,,,10,165775.4,240768.44,153.0166143,166285,164839,10248163.6
DBLP,FDP,MC,20,704738,2675,1,0.01,2,1.69E-09,0.461386047,3.16E-11,1.683360931,,,laplace,,,10,15254.1,34829.49,7.855187532,15485,14913,2441706.1
DBLP,FDP,MC,20,704738,2675,2,0.01,2,1.69E-09,0.34656488,1.58E-11,2.380631859,,,laplace,,,10,29831.5,577609.45,15.51889101,30500,27655,3813259
DBLP,FDP,MC,20,704738,2675,4,0.01,2,1.69E-09,0.256738598,7.90E-12,3.366721862,,,laplace,,,10,54054.5,10380044.05,30.50695921,56503,45271,6550343.2
DBLP,FDP,MC,20,704738,2675,6,0.01,2,1.69E-09,0.214248337,5.27E-12,4.123375334,,,laplace,,,10,70479.1,62164692.49,45.65488495,77705,50344,9284672.8
DBLP,FDP,MC,20,704738,2675,8,0.01,2,1.69E-09,0.188043996,3.95E-12,4.761263718,,,laplace,,,10,81258.6,36800549.24,61.2423984,91856,69209,12018108.7
DBLP,FDP,MC,20,704738,2675,10,0.01,2,1.69E-09,0.169763718,3.16E-12,5.323254667,,,laplace,,,10,88281.2,91238382.56,76.75158018,102304,70248,14751541.6
DBLP,FDP,MC,20,704738,2675,12,0.01,2,1.69E-09,0.156054728,2.63E-12,5.83133332,,,laplace,,,10,90957.8,58226020.56,92.37887641,102799,74519,17485474.8
DBLP,FDP,MC,20,704738,2675,14,0.01,2,1.69E-09,0.145270332,2.26E-12,6.298559863,,,laplace,,,10,91161.1,54186478.09,108.625411,105285,82619,20219404.1
