dataset,algorithm,utility_func,l,n,m,k,gamma,epsilon,delta,epsilon_0,delta_0,sigma,radius,select_method,noise,e0_ratio,cutoff,number of runs,result,variance,time,max_result,min_result,comm_cost
DBLP,CDP,MC,1,704738,2675,10,0.01,2,1.69E-09,3.141574641,1.69E-08,,,permutation,,,,10,110104.3,134841.41,73.22879492,110626,109423,285649.9
DBLP,CDP,MC,4,704738,2675,10,0.01,2,1.69E-09,3.141574641,1.69E-08,,,permutation,,,,10,110096.5,570082.05,74.52092566,110626,108124,1132403.8
DBLP,CDP,MC,16,704738,2675,10,0.01,2,1.69E-09,3.141574641,1.69E-08,,,permutation,,,,10,109754.3,840746.21,75.76414893,110626,108172,4523624.3
DBLP,CDP,MC,64,704738,2675,10,0.01,2,1.69E-09,3.141574641,1.69E-08,,,permutation,,,,10,110049.4,245118.44,75.02764407,110626,109018,18093811.2
DBLP,CDP,MC,256,704738,2675,10,0.01,2,1.69E-09,3.141574641,1.69E-08,,,permutation,,,,10,110018.8,283920.36,75.31832646,110626,108889,72375296
DBLP,CDP,MC,1024,704738,2675,10,0.01,2,1.69E-09,3.141574641,1.69E-08,,,permutation,,,,10,109988.8,314879.36,80.13881093,110626,109079,289501286.4
DBLP,FDP,MC,1,704738,2675,10,0.01,2,1.69E-09,0.169763718,3.16E-12,5.323254667,,,laplace,,,10,109167.1,1035606.49,73.3684604,110365,107606,732217.6
DBLP,FDP,MC,4,704738,2675,10,0.01,2,1.69E-09,0.169763718,3.16E-12,5.323254667,,,laplace,,,10,106414.5,7139158.85,74.47910687,110051,102247,2943765.8
DBLP,FDP,MC,16,704738,2675,10,0.01,2,1.69E-09,0.169763718,3.16E-12,5.323254667,,,laplace,,,10,93156.7,32325366.61,75.22162872,103873,85157,11799294.2
DBLP,FDP,MC,64,704738,2675,10,0.01,2,1.69E-09,0.169763718,3.16E-12,5.323254667,,,laplace,,,10,48125.5,157177566.9,77.15386979,74263,33381,47228597.8
DBLP,FDP,MC,256,704738,2675,10,0.01,2,1.69E-09,0.169763718,3.16E-12,5.323254667,,,laplace,,,10,13074.5,37126971.45,84.70393832,20108,2573,188952242.9
DBLP,FDP,MC,1024,704738,2675,10,0.01,2,1.69E-09,0.169763718,3.16E-12,5.323254667,,,laplace,,,10,7904.4,26524531.24,116.2876083,18408,2222,755846546.9
DBLP,FDP_Lazy,MC,1,704738,2675,10,0.01,2,1.69E-09,0.451749069,3.00E-11,1.728076197,,,laplace,,16,10,110122.3,152119.21,21.66998144,110626,109332,110999.4
DBLP,FDP_Lazy,MC,4,704738,2675,10,0.01,2,1.69E-09,0.451749069,3.00E-11,1.728076197,,,laplace,,16,10,109534.2,867585.16,32.87210495,110626,108053,447029.7
